gender,branch,cgpa,tenth_percentage,twelfth_percentage,backlogs,study_hours_per_day,attendance_percentage,projects_completed,internships_completed,coding_skill_rating,communication_skill_rating,aptitude_skill_rating,hackathons_participated,certifications_count,sleep_hours,stress_level,part_time_job,family_income_level,city_tier,internet_access,extracurricular_involvement,placement_status
Male,ECE,8.74,74.0,75.0,0,3.8,71.1,7,3,4,2,5,4,5,6.5,8,Yes,Medium,Tier 2,Yes,Medium,Placed
Female,ECE,7.8,75.3,69.7,0,6.3,69.5,5,1,3,4,3,4,1,7.1,8,Yes,Medium,Tier 3,Yes,Low,Placed
Female,IT,6.95,62.8,68.3,0,1.5,62.5,8,2,5,1,4,6,3,6.1,2,No,Low,Tier 2,Yes,High,Placed
Male,ECE,7.46,57.9,51.4,1,4.7,64.6,6,2,3,1,4,2,2,7.3,7,No,Medium,Tier 1,Yes,Low,Placed
Male,IT,6.86,61.3,73.5,2,5.2,75.9,3,3,2,5,3,2,1,6.0,7,No,Medium,Tier 1,Yes,Medium,Placed
Male,CSE,7.46,70.5,70.4,3,3.6,81.7,5,3,3,5,4,2,2,8.8,10,Yes,High,Tier 1,Yes,Medium,Placed
Male,CE,8.26,81.2,74.8,0,1.8,59.6,4,1,3,1,3,4,4,5.7,8,No,Low,Tier 1,No,High,Placed
Female,IT,7.01,63.9,61.2,0,2.4,64.7,7,1,4,1,4,4,5,4.2,10,No,Medium,Tier 2,Yes,Low,Placed
Female,CSE,7.97,71.4,73.8,1,7.6,75.5,7,2,4,5,4,5,7,5.4,10,No,Medium,Tier 2,Yes,Medium,Placed
Female,ECE,8.79,70.1,77.1,0,5.9,77.2,7,4,4,1,4,4,3,7.5,10,Yes,Medium,Tier 1,Yes,Low,Placed
Male,CSE,6.77,62.6,61.7,0,5.2,76.7,4,0,3,1,3,3,4,6.9,3,No,High,Tier 1,Yes,Low,Placed
Female,CE,9.62,83.4,86.8,0,8.3,75.1,8,3,5,4,5,5,7,7.9,8,No,Medium,Tier 1,Yes,High,Placed
Female,ECE,8.17,72.1,71.3,0,2.4,70.7,7,1,4,1,5,4,4,7.6,4,No,High,Tier 3,Yes,High,Placed
Male,ME,8.94,84.9,81.7,0,4.0,70.8,2,3,2,3,4,2,1,6.2,2,Yes,Medium,Tier 2,Yes,Medium,Placed
Male,CSE,8.13,75.9,70.3,0,4.1,71.3,8,1,5,3,4,4,7,6.4,8,Yes,Medium,Tier 3,Yes,Low,Placed
Male,CSE,8.57,79.5,79.0,1,6.5,74.2,7,3,5,4,4,6,3,6.5,3,No,Low,Tier 3,Yes,High,Placed
Male,CSE,8.97,76.3,84.0,0,0.7,62.5,7,4,5,1,4,6,2,9.0,4,No,Low,Tier 2,Yes,,Placed
Male,ECE,8.14,66.2,83.0,0,4.2,80.7,2,2,1,4,4,1,1,7.8,3,No,Low,Tier 3,No,,Placed
